,positive,neutral,negative
3774,Lasted 3 month! But very happy and very beautiful!,"One pack had two of the same pastel alphabet, however was missing the multicolored alphabet.",this is the hair I got. first pic. the second pic is someone hair pic from the site. this look like 2 different 14 inches to me.  I wanted a full refund. I was offered $20 when I pay $67 for this. someone is playing games with me. I am having a bullshit conversation back and forth. they want me to pay to ship hair back. how do I know I get my money back after I am $80 or so out of money with still no hair. the last pic is hair I bought before 14 inches. this is very bad customer service. I am really turn off. this can be avoided if someone double check the hair being sent to customers. i was getting 1 text a day or a big gap in between. they know what they are doing. my issued was never resolved and aliexpress didn't help me resolved my issues after i reached out to them.
3775,"Seems good, just like on the pictures",Background-plucked l think than did stickers thin please note the ~~,"very disapointed, its a middle part withojt enough hairs to cover the tracks and light brown threads so it shows its a very badly done wig when u wear it, i cant even use it, there barely any hair in the middle, waste of my money"
3776,"It came on time, in the case has not tried yet. thank you","It only had letters up to v :(
There's no lettering w, x, y, z","I never received my items. Seller took two weeks to ship out my hair and they only shipped it because I opened a dispute. They rejected it of course and asked that I wait for the package and cancel the dispute. I do not cancel disputes, ever. A few days later, still no package, shipping says “in transit” and has not moved in days. I ordered the hair on March 17th 2021, today is April 4th. I opened my dispute on March 30th (they “shipped” my items out later that night). My refund was approved by AliExpress today 4/4. Here’s some tips for ordering from vendors like this. If package does not come when it was promised, despite if in transit, open a dispute CORRECTLY. Do not close or change dispute. If the seller rejects your refund request, reject the resolution and aliexpress will step in soon after. No need to go back and forth with the seller ever they are trying to have you incorrectly open/close dispute so that they may keep the money. Hope this helps someone :)"
3777,"Everything is super, it's been a long time, but the main thing is on the spot","It only had letters up to v :(
There's no lettering w, x, y, z",purchase was supposed to be here 3/30/2021 and it's not in route. There is no further shipping information or updates on package. it is now 4/5/2021
3778,"Cool thing, we'll try.","It only had letters up to v :(
There's no lettering w, x, y, z","Product not compliant with what is described, becomes almost straw as soon as the first wash.
I do not recommend this product at all.
The strands are of very bad qualities, discolored from the first wash and no return from the seller.
"
3779,Just like in the picture. I haven't tried it yet.,good stickers but annoying that they are missing last few letters of alphabet,"Hi, I have not received the product"
3780,All as in the description. very long delivery,good stickers but annoying that they are missing last few letters of alphabet,Terrible
3781,"Long walked, but went","good condition but only comes until the letter V, its missing 4 letters. They are not included in other pages, not a good purchase because of that",never got my order 
3782,Perfect.,"good condition but only comes until the letter V, its missing 4 letters. They are not included in other pages, not a good purchase because of that","I ordered 16inch and 180 density. I got 14inch and the hair is not full compare to the similar hair, I got from this same website. The hair is got good texture but it stinks after been wash twice already. when it gets wet, it stinks bad."
3783,Thank you parcel came quickly all super,"good condition but only comes until the letter V, its missing 4 letters. They are not included in other pages, not a good purchase because of that",I never received the parcel while I paid and received Delivery confirmation
3784,"The goods came quickly, the quality is satisfied!)",Never received .. But I was paying back,"Delivery time promised, not respected. I was forced to open a dispute.
Not serious at all."
3785,Fast Delivery 15 days,Never received .. But I was paying back,"fake hair, bad odor even After washing"
3786,Well,missing letters,I dont like the hair especially the lace of the wig. I need my money back
3787,Great arrived quickly!,X Y Z none ....,I did not receive my order that I can do
3788,Like in ma photo,X Y Z none ....,I liked the wig very well but on the other hand it was room.
3789,oki,X Y Z none ....,I’ve never received the hair and as usual when you open a dispute they ask you to cancel it before resolving your problem. Be careful and never cancel it otherwise you won’t have any protection. They did refund me but it took some time 
3790,Perfect!,X Y Z none ....,Too flat at the clossure I'm really on it even the size is small
3791,All perfectly.,Alphabet will by no living bedroom,"Never recived the wig, but i got my refund"
3792,Top quality top,Alphabet No that xyzw love arm button head none,not as described
3793,Good quality,Cute,te dun
3794,Super,XYZ where available?,"not good, hairs in middle parting and front are short and keep stsnding up, ive tried plucking them but they are all short so the area would be bare, its like it was a short wig then they added hair at the back to make it longer, i regret buying it as i cant use it"
